score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0815151868541544,0.05551445227016876,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.9,0.0001,0
1.08329363005785,0.06929617192210942,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.9,0,0
1.1312851043999372,0.10205210899828077,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.9,0,0
1.135859402531335,0.10912991225092597,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.9,0.0001,0
1.1404595410825813,0.0940553964623623,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.8,0,0
1.141544075076029,0.08893531775635857,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.9,0,0
1.1598762457124931,0.09010046631970778,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.9,0.0001,0
1.1606310188080002,0.09336799601538047,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.8,0.0001,0
1.1685843488661127,0.09099053049154071,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.9,0,0
1.173792165636682,0.041124164902662665,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.9,0.0001,0
1.1951613726529433,0.06048381540948883,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.9,0.001,0
1.2114745969708567,0.09632854199475817,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.9,0.001,0
1.223802682669999,0.10457979662511362,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.8,0,0
1.227806230790181,0.07127983603994432,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.7,0,0
1.2396560313253115,0.10866468258085622,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.8,0.0001,0
1.2551786034319323,0.06859939087592055,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.7,0.0001,0
1.2667119136607314,0.09952937055410666,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.7,0,0
1.2791686636868804,0.0825851399559296,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.6,0,0
1.2834518024479022,0.08775493811498347,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.7,0.0001,0
1.289907574506574,0.0646218812304085,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.8,0,0
1.298851970872793,0.1042430023382993,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.6,0,0
1.308365038195683,0.0683814313451881,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.6,0.0001,0
1.3095552984946035,0.07279471863427565,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.8,0.0001,0
1.314630684260764,0.11045385082929424,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.8,0,0
1.3174504615025087,0.05236418895585363,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.9,0.001,0
1.3192429850590355,0.06734994482682267,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.5,0,0
1.3194528671177932,0.10157652598027207,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.6,0.0001,0
1.3209444017968797,0.10983357732114347,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.8,0.0001,0
1.3409225807907932,0.07796042318718617,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.9,0.001,0
1.342947399666962,0.06480250196045614,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.7,0,0
1.3456771408860333,0.09524328982938442,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.8,0.001,0
1.3498167487661785,0.0716980054594411,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.5,0,0
1.3498567686226302,0.07149286017628938,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.4,0,0
1.3590770729815396,0.08260310647559266,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.5,0.0001,0
1.371538358842573,0.07355171135865221,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.5,0.0001,0
1.379462427744176,0.10265283727874067,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.8,0.001,0
1.381013289819457,0.10155354612077279,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.4,0,0
1.3820612982005165,0.0786845559690193,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.4,0.0001,0
1.3836899850487683,0.05607198224106332,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.3,0,0
1.3950385406968981,0.07397476866355546,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.7,0.0001,0
1.3950534021811474,0.068336063791001,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.6,0,0
1.3964887382756281,0.08361849016804135,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.7,0,0
1.4067923253459795,0.0623548543553421,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.2,0,0
1.407133342341527,0.07319388341609426,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.4,0.0001,0
1.4083059694785676,0.08569154977194843,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.1,0,0
1.410226102451659,0.1053440838225787,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.3,0,0
1.4161101291962594,0.05182135739610901,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.3,0.0001,0
1.422228971379377,0.07996489650682716,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.005,0.7,0.0001,0
1.4263129107068038,0.08780539170253852,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0,0,0
1.427131146784085,0.07049673851671556,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.6,0.0001,0
1.4399945914255972,0.05085193003468436,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.2,0.0001,0
1.440406308301901,0.08852931725440207,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.7,0.001,0
1.444647081442118,0.11037447196948867,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.3,0.0001,0
1.4455921227115027,0.1065019359402424,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,relu,0.01,0.2,0,0
1.4494326817547811,0.09353660738083674,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.005,0.5,0,0
1.455341085204031,0.06846390871668946,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.001,0.9,0,0
1.4624310017734448,0.06721179952302996,MEE,minibatch 0.1,1000,0,10,3,"(100,)",identity,tanh,0.01,0.1,0.0001,0
