score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0896814089165001,0.06956576515478435,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.01,0.9,0,0
1.1081579198616986,0.0799270984681923,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.01,0.9,0.0001,0
1.131683586195384,0.09364713375239217,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.005,0.9,0,0
1.1417398541814365,0.09951918498407629,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.005,0.9,0.0001,0
1.1496314439650386,0.07810954266228441,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.01,0.9,0,0
1.1503633226197958,0.077206313178867,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.01,0.9,0.0001,0
1.1554477973474306,0.08596353218199165,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.01,0.8,0,0
1.1764625045021675,0.08724046449397944,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.01,0.8,0.0001,0
1.184965751584977,0.104189990321563,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.005,0.9,0,0
1.208267128453589,0.06438357133257164,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.005,0.9,0.0001,0
1.2334896153871262,0.08084415017863603,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.01,0.8,0,0
1.2404200077738567,0.06674565570782792,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.01,0.8,0.0001,0
1.24233884130437,0.05292978247916122,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,tanh,0.01,0.9,0.001,0
1.2433770500930863,0.06527820847645296,MEE,minibatch 0.05,1000,0,10,3,"(200,)",identity,relu,0.01,0.9,0.001,0
