score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.1536183980047188,0.019737693155554892,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.0085,0.6,1e-05,0
1.162199747927282,0.006917925898685875,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.009,0.6,1e-05,0
1.1685451387583345,0.02100381756760362,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.008,0.6,1e-05,0
1.169183248866665,0.014254763166330101,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.009,0.6,1e-05,0
1.1720339721315007,0.01718577353294122,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.009,0.6,0,0
1.1740377015657815,0.06675412023481321,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.008,0.6,0,0
1.174922102018348,0.041501957661001024,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.009,0.6,0,0
1.1749575227144957,0.01830790034680833,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.009,0.6,1e-05,0
1.1760288023600012,0.04768630069748988,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.008,0.6,0,0
1.1794086054056396,0.0024381423230776756,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.0085,0.6,0,0
1.1798824819005678,0.03336195438283791,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.0085,0.6,0,0
1.182509916702296,0.06254035987638963,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.009,0.6,0,0
1.1827901391968874,0.038542764248877544,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.008,0.6,0,0
1.1902932300244269,0.020985024324391723,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.008,0.6,1e-05,0
1.1932817913917133,0.02390450871427141,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.0085,0.6,1e-05,0
1.1938698791351154,0.03457304982156416,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.008,0.6,1e-05,0
1.1979063469924487,0.0318203299753014,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.009,0.6,0.0001,0
1.1979719651424212,0.02043025319357784,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.0085,0.6,1e-05,0
1.2003906292585855,0.06709888259418322,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.009,0.6,0.0001,0
1.201505605138848,0.02917485215763609,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.009,0.6,0.0001,0
1.2015541923004662,0.03564878384627242,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.2069641353954408,0.024489573838369572,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.0085,0.6,0.0001,0
1.2174404617264,0.07660082289224478,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.0085,0.6,0.0001,0
1.22012476390369,0.032408253822165334,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.0085,0.6,0.0001,0
1.2213107443383855,0.045626732649758514,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.008,0.6,0.0001,0
1.231349211661083,0.04739753284574399,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.008,0.6,0.0001,0
1.2329967096463246,0.02593353924390401,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.008,0.6,0.0001,0
1.3577115301070604,0.04131114661366334,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.009,0.6,0.001,0
1.3798357889241633,0.04557283052248522,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.008,0.6,0.001,0
1.3807031774695797,0.024285750922321346,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.009,0.6,0.001,0
1.3857577067311795,0.04860251476130213,MEE,minibatch 0.05,1000,0,10,1,"[50, 50]",identity,tanh,0.0085,0.6,0.001,0
1.401571963229918,0.052321131550627314,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.009,0.6,0.001,0
1.404896566998997,0.015946868773828324,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.0085,0.6,0.001,0
1.4104258279083464,0.06930103616746133,MEE,minibatch 0.05,1000,0,10,1,"[75, 75]",identity,tanh,0.008,0.6,0.001,0
1.4119210725378524,0.03381400105007426,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.0085,0.6,0.001,0
1.4298593705321714,0.022422988276727233,MEE,minibatch 0.05,1000,0,10,1,"[100, 100]",identity,tanh,0.008,0.6,0.001,0
