score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.1342547630152924,0.026856410806897546,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,0,0
1.1482264706366767,0.04135613016078446,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,1e-05,0
1.2074547123701838,0.04244626901571604,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.9,1e-05,0
1.2189262470707398,0.035721898333172936,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.9,0,0
1.23609218889906,0.03216275147275079,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,0.0001,0
1.2857275439177862,0.006601227912905382,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.9,0.0001,0
1.3563599579543422,0.02011120952555686,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.5,0,0
1.3617435834251943,0.028635939654305723,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.5,0,0
1.3724948569401743,0.05170630366004742,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.5,1e-05,0
1.372673530308136,0.009921006315594795,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.5,1e-05,0
1.4155757911237152,0.03918463477182886,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.3,0,0
1.4329511080094033,0.03889325963530762,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.3,0,0
1.4352987550167233,0.04764749727778634,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.3,1e-05,0
1.4382551803427457,0.03256796318545018,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.1,0,0
1.4652582010824589,0.015350795125596303,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.3,1e-05,0
1.4652726038225612,0.03369190612456416,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0,0,0
1.480804788630065,0.05810925772096172,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.1,1e-05,0
1.4837490697669757,0.0282271780367033,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0,1e-05,0
1.5606789950841673,0.06786592384238453,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0,0,0
1.5614257821459914,0.040228270815567235,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.1,0,0
1.5671376468862797,0.04623588363077232,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.1,1e-05,0
1.5751303677346087,0.02971262291570899,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0,1e-05,0
1.6181843754805918,0.040696280559305936,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.5,0.0001,0
1.6231770506999759,0.05543489781777223,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.5,0.0001,0
1.6859148869864606,0.009278008969640377,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.3,0.0001,0
1.7079881182366237,0.05778205402267612,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.3,0.0001,0
1.7260593388690937,0.029876995406263835,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.9,0.001,0
1.7312999046620055,0.011712536036623486,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.1,0.0001,0
1.7703275285042084,0.04125753825853771,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.9,0.001,0
1.7707946056658346,0.06565960420349318,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0,0.0001,0
1.7737610125173628,0.06093491336735942,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.1,0.0001,0
1.7963502063899837,0.056836920532581284,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0,0.0001,0
2.5669992103177486,0.10988982859220849,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.5,0.001,0
2.5796022710566464,0.06667844199341375,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.5,0.001,0
2.850239425825103,0.13155808590199705,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.3,0.001,0
3.0021145154403204,0.14060789670788298,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.3,0.001,0
3.103054131299025,0.08436964490500494,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0.1,0.001,0
3.2324222739139863,0.11885292087748224,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,relu,0.001,0,0.001,0
3.43615729573686,0.0855811298990499,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0.1,0.001,0
3.628798849981626,0.1252847475328474,MEE,minibatch 0.05,10000,0,10,1,"(100,)",identity,tanh,0.001,0,0.001,0
