score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0927193886568367,0,7181,MEE,minibatch 0.05,10000,0,10,1,5,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1004080716308144,0,7009,MEE,minibatch 0.05,10000,0,10,1,1,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1115322361905224,0,5657,MEE,minibatch 0.05,10000,0,10,1,2,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1118391396079328,0,4517,MEE,minibatch 0.05,10000,0,10,1,0,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1136429989545598,0,6755,MEE,minibatch 0.05,10000,0,10,1,4,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.116132449828089,0,4863,MEE,minibatch 0.05,10000,0,10,1,6,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1245928871320214,0,5805,MEE,minibatch 0.05,10000,0,10,1,7,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.13276875310434,0,4246,MEE,minibatch 0.05,10000,0,10,1,3,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.0991300138069615,0,7224,MEE,minibatch 0.05,10000,0,10,1,12,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1039111534932793,0,6852,MEE,minibatch 0.05,10000,0,10,1,15,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1067190619897322,0,5894,MEE,minibatch 0.05,10000,0,10,1,10,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1133551106577497,0,4186,MEE,minibatch 0.05,10000,0,10,1,11,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1196885294930616,0,4136,MEE,minibatch 0.05,10000,0,10,1,9,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1207785988660823,0,5952,MEE,minibatch 0.05,10000,0,10,1,14,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1209132368580679,0,5346,MEE,minibatch 0.05,10000,0,10,1,8,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.125967710747444,0,5778,MEE,minibatch 0.05,10000,0,10,1,13,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.099835706568015,0,9260,MEE,minibatch 0.05,10000,0,10,1,22,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1032620391838062,0,5976,MEE,minibatch 0.05,10000,0,10,1,21,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1119529986325127,0,5673,MEE,minibatch 0.05,10000,0,10,1,17,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.112307279336384,0,4815,MEE,minibatch 0.05,10000,0,10,1,19,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1139448302353259,0,4641,MEE,minibatch 0.05,10000,0,10,1,23,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1149215312815253,0,6192,MEE,minibatch 0.05,10000,0,10,1,20,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.137900445742733,0,3185,MEE,minibatch 0.05,10000,0,10,1,18,"[75, 75]",identity,tanh,0.0085,0.6,0,0
1.1398087914462935,0,4030,MEE,minibatch 0.05,10000,0,10,1,16,"[75, 75]",identity,tanh,0.0085,0.6,0,0
