score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0213382758578904,0.021853940197660234,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.007,0.55,1e-05,0
1.0223019022890067,0.0894052246005097,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.0085,0.6,1e-05,0
1.0286333125678875,0.01169476993477801,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.0085,0.6,1e-05,0
1.029961954413166,0.02980712953899595,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.008,0.6,1e-05,0
1.0324948729936927,0.03995845119942952,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.007,0.5,1e-05,0
1.0332042871694804,0.04556439767589205,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.008,0.55,1e-05,0
1.0379601446992313,0.04478262505989878,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.007,0.6,1e-05,0
1.037969439955841,0.037203664009756436,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.008,0.6,1e-05,0
1.0417404548856561,0.02926186507955137,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.007,0.5,1e-05,0
1.04421715851161,0.03518807989806234,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.008,0.5,1e-05,0
1.0479380212093625,0.026321235717081316,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.007,0.55,1e-05,0
1.0505251543388818,0.03567560739590534,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.0085,0.55,1e-05,0
1.0527880724957779,0.02381694247705929,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.008,0.5,1e-05,0
1.0619036099959702,0.04969637194582586,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.008,0.55,1e-05,0
1.067175580969711,0.015099595038374504,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.0085,0.5,1e-05,0
1.0691070124968451,0.02928915905103363,MEE,minibatch 0.05,10000,0,10,1,"[40, 35]",identity,tanh,0.0085,0.5,1e-05,0
1.0769433823861265,0.025879089477599333,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.0085,0.55,1e-05,0
1.0825689985228992,0.01804694500728523,MEE,minibatch 0.05,10000,0,10,1,"[40, 30]",identity,tanh,0.007,0.6,1e-05,0
