score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.22957074688771,0.054017167974095,984,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.75,1E-05,0
1.22961528682786,0.065186994128298,889,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.9,0,0
1.23863633125405,0.049400238863821,909,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,0,0
1.23908994081068,0.030744427751449,894,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.9,0.001,0
1.23976118455163,0.057129835898433,946,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.75,0,0
1.24401178564521,0.03737547180561,980,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.75,0.0001,0
1.24711991827773,0.055209034507187,887,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,1E-05,0
1.24796433084644,0.054496217560318,972,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.75,0,0
1.2532781301865,0.040396174419207,978,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.75,0.0001,0
1.25454655121908,0.027694027840317,933,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.75,1E-05,0
1.25583042366679,0.026640211131038,939,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.75,0,0
1.25598419830957,0.089071163117076,934,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.75,0,0
1.25722340893971,0.035511973116831,921,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.75,1E-05,0
1.25767483349014,0.061168302842496,952,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.75,1E-05,0
1.25768484449495,0.040097086627564,921,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.75,0.0001,0
1.26059072932931,0.083330390491101,783,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.9,1E-05,0
1.26223546316558,0.031644033997257,932,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.75,0,0
1.26288879734313,0.024886251294282,942,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.75,1E-05,0
1.26335313166811,0.037017702123691,831,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.9,0.0001,0
1.26573624845169,0.028947345173999,898,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0,0
1.2688582567985,0.052379650667064,883,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,0.0001,0
1.27123269642,0.114378077197337,964,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.75,1E-05,0
1.27486289894637,0.022816943155732,940,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.9,1E-05,0
1.2751199241357,0.058973916855577,985,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.5,1E-05,0
1.27945473180747,0.049227832059371,944,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.75,0.0001,0
1.28053775766344,0.049769530695471,962,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,1E-05,0
1.28173691906795,0.050625928611552,758,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,0.001,0
1.28248743963898,0.087068114111706,982,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.5,0,0
1.28271029495441,0.043275509222902,766,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.9,0.0001,0
1.28401246839474,0.016484207356793,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.75,0.0001,0
1.28423705908203,0.058126111055726,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.5,0,0
1.28593199179606,0.044597314785566,930,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.5,1E-05,0
1.28617819792616,0.028069723846799,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.5,1E-05,0
1.28707385935985,0.058169213948443,938,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.5,0,0
1.29035888572099,0.046887026945486,953,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.75,0.0001,0
1.29092805543982,0.055495819528551,949,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0.0001,0
1.2939616865128,0.074011970609507,940,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.75,1E-05,0
1.29507054366613,0.016512108104914,917,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.5,0.0001,0
1.29508924805381,0.033245128401601,760,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.9,0.001,0
1.29555228934061,0.052935580734591,981,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.5,1E-05,0
1.29662020409492,0.039195506105779,933,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.5,1E-05,0
1.29772153350829,0.091333802673591,964,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.5,0,0
1.29961033098115,0.050593602020604,784,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.9,1E-05,0
1.29974720754396,0.068062629169577,923,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.9,1E-05,0
1.30156082426002,0.026415337624913,905,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.9,0.001,0
1.30417459342836,0.032390254664919,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.75,0.0001,0
1.30449672214766,0.026207456930431,935,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.75,1E-05,0
1.30662460505646,0.058946438101625,937,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.9,0.001,0
1.30816818077052,0.035874106051923,989,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.5,1E-05,0
1.30869979918251,0.011155969101078,970,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.5,0,0
1.31291330395919,0.025543259236042,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.5,0,0
1.31336988832803,0.016878557610101,863,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.75,0.0001,0
1.31492358602573,0.008671227255307,948,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.75,0,0
1.31592215201065,0.01368692283767,987,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.5,1E-05,0
1.31657669646376,0.034817512601283,962,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.5,0,0
1.31677453974214,0.041675053995971,907,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.5,0.0001,0
1.31733833432439,0.044576926910855,958,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.5,0.0001,0
1.31973573962289,0.049782302151791,979,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.5,0.0001,0
1.32048583588286,0.017100106391658,958,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.5,0,0
1.32109151292171,0.07949527645627,942,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,relu,0.01,0.5,0.0001,0
1.32143474575771,0.029346614975405,915,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.5,0.0001,0
1.32197969636667,0.04476406142091,965,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.5,0,0
1.32254278245456,0.008353622657121,974,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.75,0.0001,0
1.3240494382273,0.088460386479785,967,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.5,1E-05,0
1.32445811751148,0.0489024509552,832,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0.9,0.001,0
1.32449678694983,0.044039338786842,988,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0.5,1E-05,0
1.32722054260484,0.016467778533476,939,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.5,0.0001,0
1.32979664643505,0.026586294119113,908,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.5,1E-05,0
1.3342436294776,0.031582911671963,931,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0,0,0
1.33494591460339,0.056114382178287,988,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.5,0,0
1.33528393983296,0.060994880249976,935,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,relu,0.01,0.9,0,0
1.33656036655733,0.023743764502908,828,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.75,0.001,0
1.34056492640588,0.033998367329332,918,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.01,0.9,0.001,0
1.34115835797433,0.07841702385055,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.5,0.0001,0
1.34328629937487,0.03040433395962,977,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0,1E-05,0
