score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.1325257396666992,0.03264298393817251,946,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.9,0,0
1.1804726463509239,0.05891823096368222,913,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.9,1e-05,0
1.194837331216726,0.005971641874694993,954,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.9,0.0001,0
1.2199711018064148,0.04365033339746756,957,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.75,1e-05,0
1.2261686369210834,0.006661501088100743,990,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.75,0,0
1.2386363312540503,0.04940023886382139,909,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,0,0
1.2390899408106772,0.03074442775144931,894,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.9,0.001,0
1.239761184551629,0.057129835898433304,946,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,sigmoid 1,0.1,0.75,0,0
1.2440117856452069,0.03737547180561005,980,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.75,0.0001,0
1.2471199182777306,0.055209034507187414,887,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.9,1e-05,0
1.2545465512190825,0.02769402784031701,933,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0.75,1e-05,0
1.2572234089397103,0.03551197311683128,921,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.75,1e-05,0
1.2605907293293053,0.08333039049110103,783,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,sigmoid 1,0.1,0.9,1e-05,0
