score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
nan,nan,166,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0,0,0
nan,nan,167,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0,1e-05,0
nan,nan,166,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0,0.0001,0
nan,nan,166,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0,0.001,0
nan,nan,170,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.5,0,0
nan,nan,170,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.5,1e-05,0
nan,nan,170,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.5,0.0001,0
nan,nan,170,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.5,0.001,0
nan,nan,172,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.75,0,0
nan,nan,173,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.75,1e-05,0
nan,nan,172,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.75,0.0001,0
nan,nan,172,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.75,0.001,0
nan,nan,173,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.9,0,0
nan,nan,173,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.9,1e-05,0
nan,nan,174,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.9,0.0001,0
nan,nan,173,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.1,0.9,0.001,0
1.2479643308464416,0.05449621756031752,972,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.01,0.75,0,0
1.2657362484516919,0.028947345173999283,898,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0,0
1.2805377576634411,0.049769530695470805,962,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,1e-05,0
1.2909280554398208,0.055495819528551385,949,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0.0001,0
1.3741716937019444,0.04962748771226234,976,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,0,0
1.387995058321219,0.05899737555076594,953,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,1e-05,0
1.4133992888609759,0.08232136064687891,959,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,0.0001,0
1.4333970029077407,0.01915456280629568,995,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,0,0
1.4499631094710776,0.009061122307781224,986,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,1e-05,0
1.4582006215974708,0.021606974495925264,954,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.9,0.001,0
1.4739414154970831,0.03532771392582571,914,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,0.0001,0
1.521072285622018,0.003318072487762211,981,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.5,1e-05,0
1.5219468479548546,0.028985855483562514,961,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.5,0,0
1.548467204466616,0.05431885263786617,978,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.5,0.0001,0
1.576736339597199,0.06048351209735126,995,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.001,0.9,0,0
1.5893071139342785,0.0797646248380945,897,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.75,0.001,0
1.5990251821779868,0.024711150189510745,977,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.001,0.9,1e-05,0
1.6128448593290292,0.04104285788457337,968,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0,0,0
1.6141608692131377,0.048525135927683316,964,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.001,0.9,0.0001,0
1.615799642748516,0.038000107760719076,980,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0,1e-05,0
1.6292303595786837,0.01836543692751534,996,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.75,0,0
1.6500320330247984,0.08401673283953695,990,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0,0.0001,0
1.6774116437519953,0.05047530426150154,991,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.75,1e-05,0
1.736186201894051,0.035990206710885084,956,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,tanh,0.01,0.5,0.001,0
1.758464615183895,0.02434277161724381,997,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.75,0.0001,0
