score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_save_internal_networks,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.2479864615759866,0.08782659386383639,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0,0
1.2560034779511768,0.08848179486232749,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.0001,0
1.2633640913658015,0.014381462665036619,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0,0
1.2668189461212762,0.014089933228346618,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0.0001,0
1.276527107906392,0.08606314493478483,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0,0.001
1.2847230892763626,0.0860895374811896,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.0001,0.001
1.2847792760924728,0.013878613835673948,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0,0.001
1.291287367764441,0.014893418733186083,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0.0001,0.001
1.2936388012431597,0.05912230070815283,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0,0
1.296718165514636,0.06027003925763263,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0.0001,0
1.3042827671556454,0.055455037321942305,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0,0.001
1.3167372663777164,0.064393225232456,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0.0001,0.001
1.322220514215059,0.05386057573828217,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0.001,0
1.329562474245899,0.03877636988065439,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.001,0
1.3326505686706325,0.022978654703799405,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.005,0.8,0,0
1.3413725859141288,0.024618655535401112,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.005,0.8,0.0001,0
1.3424426705688457,0.03532087481699413,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0.001,0
1.349716169362863,0.056852350265370596,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0.001,0.001
1.3550967736176736,0.026609699964941808,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.005,0.8,0,0.001
1.3639599139609266,0.029312433290233603,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.005,0.8,0.0001,0.001
1.3654950179925383,0.005474196193434874,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,relu,0.01,0.8,0.0001,0
1.3667568721568106,0.023614593566896807,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.5,0,0
1.3673009805950596,0.03518762320513654,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0.001,0.001
1.3695180635834685,0.02988893638571638,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,relu,0.01,0.8,0,0
1.3713667605440107,0.033861060792278845,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.001,0.001
1.3713965750892008,0.010607180303772811,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0,0.01
1.374359172023129,0.022364022991209168,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.5,0.0001,0
1.3786266499208564,0.009956439405336054,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.8,0.0001,0.01
1.3807007881908504,0.049044798166371716,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.005,0.8,0,0
1.389630261356692,0.022254854111938727,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.5,0,0.001
1.3900106679299276,0.04681965728311995,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.005,0.8,0.0001,0
1.393502372138747,0.016964230911970253,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.005,0.8,0,0
1.3943559780278834,0.016423633983584887,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,relu,0.01,0.8,0,0.001
1.3957488546877146,0.05306856086691594,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,relu,0.01,0.8,0,0
1.3965687551696402,0.018485195272514854,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.005,0.8,0.0001,0
1.3974630899286657,0.019808862124789224,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.5,0.0001,0.001
1.3979899871958346,0.07188970790512404,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.3,0,0
1.399541110511045,0.052974192960792886,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,relu,0.01,0.8,0.0001,0
1.3996626664945608,0.02151452363527426,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.005,0.8,0.001,0
1.3998554624793893,0.014883775821395424,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,relu,0.01,0.8,0.0001,0.001
1.4003802823490483,0.05416358317192908,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,relu,0.01,0.8,0.001,0
1.4037875677425242,0.012731658548280043,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.5,0,0
1.4057182598604407,0.07180255592356004,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.3,0.0001,0
1.4071023731066654,0.012943908072720089,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.5,0.0001,0
1.408459154069791,0.01303599345043972,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.005,0.8,0,0.001
1.4099389400213598,0.01186496930995966,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.005,0.8,0.0001,0.001
1.4126716408017204,0.07481151437942161,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0,0.01
1.4128450924572882,0.03343344445317198,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.5,0,0.001
1.413038607481151,0.07928139150752826,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0,0.01
1.4152039159453442,0.04966390790036656,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.005,0.8,0,0.001
1.4171047870154447,0.07060529892724833,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.8,0.0001,0.01
1.4172602295658265,0.037150251100213,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.5,0,0
1.418192474294335,0.03025547957203511,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.01,0.5,0.0001,0.001
1.423699090027703,0.07759322305134687,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.0001,0.01
1.4245638455951148,0.0734464555833454,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.3,0,0.001
1.4251264224054128,0.04735678294073921,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.005,0.8,0.0001,0.001
1.426412856591707,0.03609178561142709,MEE,minibatch 0.1,500,1e-05,10,3,False,"(50,)",identity,tanh,0.01,0.5,0.0001,0
1.4294228338905894,0.030966710457963738,MEE,minibatch 0.1,500,1e-05,10,3,False,"(10,)",identity,tanh,0.005,0.8,0.001,0
1.4354823226190243,0.07108918436774019,MEE,minibatch 0.1,500,1e-05,10,3,False,"(20,)",identity,tanh,0.01,0.3,0.0001,0.001
