score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
0.09040884049261344,0.0951666566060982,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.8,0.2,0.001,0
0.09279965197737551,0.09454392364170472,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.7,0.4,0,0
0.09571711798583145,0.08986062512590609,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.7,0.9,0,0
0.09626747459829126,0.0933559177980743,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.8,0.6,0,0
0.09631995800215565,0.08886105745416084,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.1,0.9,0,0
0.09655136079774677,0.09338871946603663,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.7,0.3,0,0
0.09690269465664449,0.08905235187908153,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.8,0.9,0.001,0.5
0.09795969960967936,0.08886413581160721,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.4,0.9,0,0.1
0.09868530469071862,0.08848553204272981,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.9,0.9,0,0.1
0.09887049197473118,0.09145720579873319,MSE,batch,500,1e-05,10,5,"(4,)",tanh,relu,0.1,0.9,0.001,0
0.09913814718072482,0.08828139796173291,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.8,0.4,0.002,0
0.09914791795904672,0.08836042152942289,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.9,0.9,0.001,0.5
0.09938576752933241,0.08828662248977408,MSE,batch,500,1e-05,10,5,"(4,)",tanh,relu,0.3,0.4,0,0
0.09958964802165221,0.08954921106016671,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.7,0.8,0,0
0.09960650070788651,0.09029411943072609,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.7,0.9,0.002,0
0.09980046497085295,0.0888500577546645,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.9,0.7,0.001,0
0.09990177792376086,0.09021973438699238,MSE,batch,500,1e-05,10,5,"(2, 2)",tanh,relu,0.8,0.1,0.001,0
0.09993148008776499,0.08800252051232162,MSE,batch,500,1e-05,10,5,"(4,)",tanh,relu,0.8,0.8,0,0
0.10003156930379957,0.09011484324720392,MSE,batch,500,1e-05,10,5,"(2,)",tanh,relu,0.3,0.4,0,0
