score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_save_internal_networks,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.288588981454583,0.17212131184456522,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.9,0.0001,0
1.304305792274208,0.13991911911309501,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.9,0.0001,0
1.3295745388586067,0.1380656428026846,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.9,0,0
1.3413229143495098,0.12198063543752795,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.9,0,0
1.3443574162595884,0.1739859948939922,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.9,0.001,0
1.3533467258868197,0.18040624816275794,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.9,0.001,0
1.3663768937809573,0.12886434723878767,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.9,0.001,0
1.3724933079863297,0.1260747221415342,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.9,0,0
1.3803842104887472,0.13362510757228052,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.9,0.0001,0
1.4146964217302709,0.2281649548774566,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.9,0,0
1.4315148527141843,0.15932292086985134,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.9,0.001,0
1.4452781492688647,0.2647669503140773,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.9,0.0001,0
1.4500254069016303,0.2741195300640258,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.9,0,0
1.4501113735404876,0.15275639953528672,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.015,0.9,0,0
1.4526167169496744,0.22427648762040905,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.9,0,0
1.459772045364756,0.16929382345655614,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.9,0.0001,0
1.4799131773579588,0.21671284978770294,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.9,0.0001,0
1.4836468531670208,0.2193128010130789,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,relu,0.015,0.9,0.001,0
1.4853207727337163,0.20133337308012003,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.9,0.001,0
1.4867476648324514,0.13643177035226603,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.9,0.001,0
1.4877969095503174,0.18741816243031192,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.9,0,0
1.4929831880437423,0.14218857688073852,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.9,0.001,0
1.5003577902163188,0.1392947079160643,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.9,0.0001,0
1.5089080692966212,0.23678486770561916,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.9,0,0
1.5146983695699197,0.25549500080326654,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.9,0.001,0
1.524735192466731,0.15873115715100722,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.9,0.0001,0
1.5257249079747912,0.1421549086900093,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.8,0,0
1.5277932181795248,0.14290473570556192,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,relu,0.015,0.9,0.0001,0
1.529076448805228,0.1833019766093971,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.8,0.0001,0
1.5300842057342225,0.21408177651269109,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.015,0.9,0.0001,0
1.5470408388009758,0.17952997309814603,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,relu,0.01,0.9,0.0001,0
1.5686283177259885,0.19224490635371896,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,relu,0.01,0.9,0,0
1.5810524687711598,0.2411843340429578,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.8,0.001,0
1.582966539377852,0.21534205917282778,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,relu,0.015,0.9,0.001,0
1.5908079677654587,0.19358552141429025,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.8,0,0
1.5924917741062248,0.16250864191139047,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.01,0.9,0.0001,0
1.5956246887481456,0.16051226048100817,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.8,0.0001,0
1.596611153239095,0.18464896834050842,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.8,0,0
1.5984002007689402,0.21328473904613512,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,relu,0.01,0.9,0.0001,0
1.6130021709274363,0.1516460014217586,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,relu,0.01,0.9,0,0
1.6167651313526068,0.17522114262767224,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.01,0.9,0,0
1.618813758072757,0.3042127765335963,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,relu,0.01,0.9,0,0
1.6212897835696363,0.1961722193252412,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.8,0,0
1.6220207148634933,0.18713740364650144,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.7,0.0001,0
1.6312159754073854,0.2341457979594518,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,relu,0.015,0.9,0,0
1.6315152138809268,0.167790135821301,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.8,0.0001,0
1.6413637112670283,0.19862271394758207,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.8,0.0001,0
1.65767225511351,0.1995729168175857,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.7,0,0
1.6633914746516296,0.2480722723819541,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.8,0,0
1.6655789220594148,0.2365802692323743,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.0001,0
1.6724596068751179,0.22961670568672324,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.8,0.001,0
1.6755959582685123,0.2985834014593587,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.005,0.9,0.0001,0
1.6766619137362357,0.2990492093036961,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.005,0.9,0.001,0
1.6817675395000324,0.20227844312901463,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.01,0.9,0.001,0
1.6860783965591157,0.12182566388298952,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.005,0.9,0,0
1.688130509061105,0.29792372272174145,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,relu,0.01,0.9,0.001,0
1.6903656163172798,0.19164520270823432,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.8,0.001,0
1.695019437256717,0.08747427316284022,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.7,0,0
1.7004547216594568,0.3049804245333488,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.005,0.9,0,0
1.7071559132725251,0.2170557336815734,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,relu,0.01,0.9,0.001,0
1.7165067907109162,0.18361429907330012,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,relu,0.01,0.9,0.0001,0
1.71750902207099,0.08318632062427031,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.6,0,0
1.721113764599344,0.2243907769849459,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.005,0.9,0.0001,0
1.7268839948392671,0.16682714720614544,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.8,0,0
1.7283871018506183,0.21641284367801847,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.005,0.9,0.0001,0
1.7295001055538166,0.20358770350181027,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.7,0.0001,0
1.7308896404368888,0.10308237825970591,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.005,0.9,0,0
1.7313019362349085,0.24551357396563436,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.8,0.0001,0
1.7344413604682642,0.15078601192465707,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.8,0.001,0
1.753393171227204,0.24940582941180556,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.8,0.001,0
1.7619650246879726,0.2850929790711522,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.005,0.9,0,0
1.7623540601138352,0.13060807183342116,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.8,0.0001,0
1.7628024043301866,0.15465244083270366,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.7,0.001,0
1.7684026089630305,0.14696542548927716,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.7,0,0
1.7684531164352975,0.24473839687053406,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.7,0.0001,0
