score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.0758594942330308,0.062266138525223017,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.9,0,0
1.077552799947705,0.019142256940014715,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.9,1e-05,0
1.078179265585244,0.013113670072504338,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.9,0,0
1.104878325786178,0.0336186777511502,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.005,0.9,1e-05,0
1.105154453874521,0.022689249908859743,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.3,0,0
1.1062781413451337,0.013268911544039082,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.5,1e-05,0
1.1068248731192154,0.04231554838250038,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.005,0.9,0,0
1.110811633046579,0.03175883869431193,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.9,0.0001,0
1.1123649595780207,0.046772920650443056,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.005,0.9,0.0001,0
1.1141486951905712,0.026753035948362695,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.001,0.9,0,0
1.114580801717568,0.012692394873175313,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0,0,0
1.1219280686630624,0.034276141937602776,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.9,0.0001,0
1.1240455934235805,0.03175558378692868,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0,1e-05,0
1.1256890766897678,0.03222874331831915,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.3,1e-05,0
1.1267923028516802,0.040067699793542445,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.9,0.0001,0
1.1274357362167258,0.032897614803882244,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.1,0,0
1.12791230555157,0.04650937495053955,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.9,1e-05,0
1.1293647663178954,0.05741133800284483,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.5,1e-05,0
1.1347590837348631,0.038290619418233744,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.5,0,0
1.1364438470413782,0.0038978763378749934,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.1,1e-05,0
1.1369347518573176,0.005309078442501408,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.5,0,0
1.1394528999350773,0.05501568261903584,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.9,1e-05,0
1.140397525646761,0.03843741631793755,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.5,1e-05,0
1.1429433401109204,0.052492847997414015,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.3,1e-05,0
1.1453064719134816,0.04978420637280339,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.001,0.9,1e-05,0
1.1472105593131883,0.02331878791758254,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.5,0.0001,0
1.154671884158791,0.004804386015781728,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.3,0,0
1.1622329526923958,0.018806686238260754,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.005,0.5,0,0
1.1630040816859435,0.0037464167315131246,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.9,0,0
1.1657426885876494,0.011137764076757853,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.5,0,0
1.168281896364445,0.03423121402227682,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.1,0,0
1.1710704712986764,0.05735347304507236,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0,0,0
1.1733610119922562,0.04843202792311914,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.1,0,0
1.1742168679792524,0.022783035494298904,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0,0,0
1.1748355811552658,0.03210819944322694,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.1,1e-05,0
1.1773533375125524,0.009796921866235353,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.01,0.3,0.0001,0
1.1784299581496116,0.01737919231711507,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.1,1e-05,0
1.1791829674371277,0.03282286547149704,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,tanh,0.005,0.3,1e-05,0
1.1906399585690266,0.012711826092499835,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0.3,0,0
1.1917233231662987,0.027801985142386174,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.005,0.5,1e-05,0
1.1962083621735349,0.026106146961905344,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.001,0.9,1e-05,0
1.198159733242712,0.012682234286487128,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.001,0.9,0,0
1.2055874653065148,0.04441504971176727,MEE,minibatch 0.05,10000,0,10,1,"(150,)",identity,relu,0.01,0,1e-05,0
