score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.074966725527597,0.035233705872917,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.9,0,0
1.0794323163869997,0.06011110270378677,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.9,1e-05,0
1.1000164852903593,0.02853427713119924,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.9,0,0
1.1061858051632978,0.018009185329278917,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.005,0.9,0,0
1.1073102238935055,0.040041027263371325,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.9,1e-05,0
1.1083428428126343,0.029246284642457893,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.005,0.9,0.0001,0
1.110111920513237,0.04345569497994362,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.9,0.0001,0
1.1105032984512682,0.024516480335658574,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.005,0.9,0,0
1.1116669194198958,0.030846839033686256,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.005,0.9,0.0001,0
1.1146230469013088,0.055157849598020316,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.005,0.9,1e-05,0
1.116534550661583,0.02335733906286908,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.005,0.9,1e-05,0
1.1184567781486223,0.02894278076288977,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.005,0.9,1e-05,0
1.1243528246189702,0.019597523994267015,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.9,0.0001,0
1.1258757304998268,0.01079576962564281,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.5,1e-05,0
1.126600723063053,0.03880842750383811,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.005,0.9,0.0001,0
1.130154792392991,0.03500673360719214,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.01,0.9,1e-05,0
1.1311978176051891,0.02369837373928144,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,relu,0.005,0.9,1e-05,0
1.1323298956219003,0.061934755925582556,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.005,0.9,0,0
1.1359240628960536,0.0332524102111246,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.5,0,0
1.141843169093307,0.028387844919956395,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.01,0.9,0.0001,0
1.1465574606756361,0.01938882320757708,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.5,0,0
1.1487235345665685,0.03748433360564203,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,relu,0.01,0.9,0.0001,0
1.1497375276762787,0.016818136426199358,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.3,1e-05,0
1.1558352038149515,0.02608629037422768,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.3,1e-05,0
1.1559220602627132,0.029557518514611816,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,relu,0.01,0.9,1e-05,0
1.1579610755108158,0.05982481815147647,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,relu,0.01,0.9,0,0
1.1594445956436699,0.048007869847546875,MEE,minibatch 0.05,5000,0,10,1,"(150,)",identity,tanh,0.01,0.3,0,0
1.1604219462240843,0.007817441395817097,MEE,minibatch 0.05,5000,0,10,1,"(100,)",identity,tanh,0.01,0.5,1e-05,0
